2007/3/12,7.752
2007/3/13,7.739
2007/3/14,7.7387
2007/3/15,7.744
2007/3/16,7.736
2007/3/19,7.736
2007/3/20,7.7375
2007/3/21,7.733
2007/3/22,7.734
2007/3/23,7.731
2007/3/26,8.0142
2007/3/27,7.7363
2007/3/28,7.7295
2007/3/29,7.727
2007/3/30,7.7258
2007/4/3,7.7257
2007/4/4,7.7345
2007/4/5,7.725
2007/4/6,7.7248
2007/4/9,7.734
2007/4/10,7.735
2007/4/11,7.726
2007/4/12,7.725
2007/4/13,7.7222
2007/4/16,7.7321
2007/4/17,7.7298
2007/4/18,7.7238
2007/4/19,7.7135
2007/4/20,7.715
2007/4/23,7.727
2007/4/24,7.7264
2007/4/25,7.7223
2007/4/26,7.7318
2007/4/27,7.7149
2007/4/30,7.71
2007/5/1,7.7065
2007/5/2,7.7055
2007/5/3,7.7075
2007/5/4,7.7035
2007/5/7,7.7059
2007/5/8,7.697
2007/5/9,7.6951
2007/5/10,7.6965
2007/5/11,7.681
2007/5/14,7.6813
2007/5/15,7.6928
2007/5/16,7.683
2007/5/17,7.6707
2007/5/18,7.6695
2007/5/21,7.664
2007/5/22,7.656
2007/5/23,7.65
2007/5/24,7.6525
2007/5/25,7.6537
2007/5/28,7.6458
2007/5/29,7.6558
2007/5/30,7.6468
2007/5/31,7.6516
2007/6/1,7.6477
2007/6/4,7.6512
2007/6/5,7.6417
2007/6/6,7.6358
2007/6/7,7.6487
2007/6/8,7.657
2007/6/11,7.666
2007/6/12,7.6456
2007/6/13,7.634
2007/6/14,7.6425
2007/6/15,7.6245
2007/6/18,7.6275
2007/6/19,7.62
2007/6/20,7.621
2007/6/21,7.6205
2007/6/22,7.6207
2007/6/25,7.6217
2007/6/26,7.6159
2007/6/27,7.623
2007/6/28,7.6151
2007/6/29,7.6132
2007/7/2,7.6047
2007/7/3,7.5948
2007/7/4,7.5947
2007/7/5,7.6015
2007/7/6,7.601
2007/7/9,7.6095
2007/7/10,7.5835
2007/7/11,7.5631
2007/7/12,7.568
2007/7/13,7.573
2007/7/16,7.5675
2007/7/17,7.5651
2007/7/18,7.564
2007/7/19,7.5632
2007/7/20,7.5727
2007/7/23,7.5657
2007/7/24,7.5625
2007/7/25,7.5616
2007/7/26,7.567
2007/7/27,7.5623
2007/7/30,7.5695
2007/7/31,7.5765
2007/8/1,7.5705
2007/8/2,7.5753
2007/8/3,7.5685
2007/8/6,7.5635
2007/8/7,7.5705
2007/8/8,7.5748
2007/8/9,7.5763
2007/8/10,7.5733
2007/8/13,7.5815
2007/8/14,7.5815
2007/8/15,7.5905
2007/8/16,7.6156
2007/8/17,7.5975
2007/8/20,7.5905
2007/8/21,7.594
2007/8/22,7.5962
2007/8/23,7.5862
2007/8/24,7.5666
2007/8/27,7.562
2007/8/28,7.558
2007/8/29,7.5487
2007/8/30,7.541
2007/8/31,7.5465
2007/9/3,7.5443
2007/9/4,7.551
2007/9/5,7.5565
2007/9/6,7.5355
2007/9/7,7.5395
2007/9/10,7.525
2007/9/11,7.5245
